,Blind_Assessment,Origin
1129,"chocolaty, deeply sweet-savory. dark chocolate, fresh ginger, plum blossom, lemon verbena, italian parsley in aroma and cup. savory-leaning structure with sweet undertones and crisp, citrusy acidity; lively, tannic mouthfeel. gently drying, chocolaty and spice-toned finish.",colombia
1130,"rich-toned, crisply sweet. date, caramel, orange zest, freesia, oak in aroma and cup. briskly sweet acidity; lightly satiny mouthfeel. quietly inviting finish leads with notes of caramel and orange zest.",guinea
1131,"delicately tropical. lychee, ginger blossom, cocoa nib, amber, agave syrup in aroma and cup. sweet, lively structure with juicy acidity; crisp, silky mouthfeel. cocoa-toned finish, supported by notes of amber and agave.",philippines
1132,"balanced, deeply sweet. black currant, ginger blossom, orange zest, cedar, cocoa nib in aroma and cup. sweet-toned structure with malic (green apple-like) acidity; delicately satiny mouthfeel. the finish leads with notes of cocoa nib and cedar.",kenya
1133,"citrus- and chocolate-toned. candied mandarin, dark chocolate, hazelnut butter, wisteria, fresh-cut oak in aroma and cup. sweet-toned structure with bright, balanced acidity; syrupy-smooth mouthfeel. crisply sweet, citrusy finish with dark chocolate undertones.",colombia
1134,"soft, balanced, vibrant. cocoa nib, tea rose, cream, bay leaf, dried apple in aroma and cup. sweet structure with gentle acidity; buttery mouthfeel. the subtly nuanced finish leads with notes of cocoa nib and bay leaf with dried apple undertones.",brazil
1135,"richly aromatic, tropical. passionfruit, ginger, star jasmine, fresh-cut oak, cherry liqueur in aroma and cup. fruity acidity; viscous, creamy mouthfeel. the spice-toned finish centers around on notes of ginger and cherry liqueur.",colombia
1136,"delicate, vibrantly floral, citrusy. bergamot, wisteria, almond brittle, thyme, cane sugar in aroma and cup. bright, balanced structure with elegantly juicy acidity; buoyant, silky mouthfeel. flavor-saturated, very long finish.",ethiopia
1137,"evaluated as espresso. richly aromatic, chocolaty, earth-toned. dark chocolate, shiitake mushroom, pomegranate syrup, cedar, marjoram in aroma and small cup. velvety-smooth mouthfeel; crisp, chocolaty-tart finish. in three parts milk, tart fruit and sweet chocolate harmonize, supported by savory undertones of mushroom and sweet herbs.",brazil
1138,"delicately floral-toned. freesia, grapefruit zest, salted caramel, cedar, thyme in aroma and cup. richly bittersweet structure; crisp, satiny mouthfeel. finish centers around notes of freesia and grapefruit.",guatemala
1139,"evaluated as espresso. balanced, chocolaty, subtly fruit-toned. dark chocolate, tamarind, wild honey, marjoram, honeysuckle in aroma and small cup. plush, syrupy mouthfeel; chocolaty finish with undertones of tamarind and wild honey. in cappuccino-scaled milk, tart tamarind notes stand up to the chocolate, and undercurrents of honeysuckle contribute sweet spice notes.",hawaii
1140,"fruit-forward, crisply tropical. strawberry guava, baking chocolate, lemon verbena, fresh-cut oak, brown sugar in aroma and cup. sweet in structure with balanced, lively acidity; plush, syrupy mouthfeel. crisply cocoa-toned finish with undertones of lemon verbena.",colombia
1141,"deep, rich, chocolaty. chocolate fudge, roasted almond, fig newton, cedar, gardenia in aroma and cup. sweet-toned with gentle, round acidity; plush, creamy mouthfeel. nutty, chocolaty finish.",mexico
1142,"evaluated as espresso. caramel, almond butter, yellow plum, orange zest, cedar in aroma and small cup. crisp, satiny mouthfeel; richly nut-driven finish. in three parts milk, almond and caramel tones commingle, supported by plum and cedar.",guatemala
1143,"chocolaty, deep-toned. dark chocolate, almond brittle, gardenia, maple syrup, cedar in aroma and cup. sweet structure with gentle, round acidity; full, syrupy mouthfeel. chocolaty, deeply nutty finish.",peru
1144,"high-toned, spice-driven, deeply sweet. almond nougat, freesia-like flowers, dried apricot, cedar, thyme in aroma and cup. balanced, sweet-savory structure with gentle acidity; plush, satiny-smooth mouthfeel. the finish leads with notes of almond nougat and undertones of rich aromatic wood.",burundi
1145,"richly chocolaty, sweetly tart. nectarine, dark chocolate, lemon verbena, lavender, fresh-cut oak in aroma and cup. sweet structure with high-toned acidity; very full, satiny-smooth mouthfeel. crisply sweet, chocolaty finish with undertones of lemon verbena and a hint of lavender.",colombia
1146,"richly sweet-savory, multi-layered. baking chocolate, goji berry, saltwater taffy, bay leaf, freesia-like flowers in aroma and cup. balanced, sweet structure with gently brisk acidity; full, satiny-smooth mouthfeel. chocolaty and berry-driven finish with undertones of saltwater taffy.",indonesia
1147,"brightly sweet, floral-toned. narcissus, pink grapefruit, apricot, almond butter, bay leaf in aroma and cup. high-toned acidity; very smooth, silky mouthfeel. the resonant finish amplifies narcissus and almond.",panama
1148,"crisply sweet, fruit-toned. red grape, baking chocolate, meyer lemon, magnolia, fir in aroma and cup. sweet-toned structure with round acidity; syrupy-smooth mouthfeel. the finish consolidates to cocoa-toned red grape and fir.",honduras
1149,"elegantly fruit-toned. strawberry-guava, pistachio, lime zest, freesia, cedar in aroma and cup. sweetly tart structure with vibrant, juicy acidity; full, syrupy mouthfeel. the finish centers around notes of strawberry-guava and pistachio with cedar undertones.",costarica
1150,"richly fruit- and floral-toned. dried plum, plumeria, dark chocolate, amber, lemon-thyme in aroma and cup. sweet-tart with balanced, fruity acidity; very full, syrupy mouthfeel. the resonant finish centers around notes of plum, plumeria and dark chocolate.",colombia
1151,"berry-toned, invitingly nuanced. raspberry, musk, cocoa powder, freesia-like flowers, a hint of rum barrel in aroma and cup. balanced structure with brisk acidity; plush, lively mouthfeel. the finish leads with distinct raspberry notes in the short, while the long is characterized by spice-toned florals and pleasing sweet ferment.",ethiopia
1152,"aromatically tropical, deeply floral, mysteriously complex. plumeria, amber, passion fruit, concord grape, dark chocolate in aroma and cup. deep-toned, sweetly savory structure with winy acidity; decadently plush mouthfeel. the finish goes on and on.",hawaii
1153,"sweetly fruit-driven, richly aromatic. lychee, hop flowers, cocoa nib, thyme, agave syrup in aroma and cup. sweet-savory structure with bittersweet acidity; full, syrupy-smooth mouthfeel. the finish centers around notes of lychee and hop flowers with cocoa undertones.",ethiopia
1154,"vibrant, citrusy. tangerine zest, cocoa nib, pear, marjoram, freesia-like flowers in aroma and cup. lively structure with high-toned acidity; crisp, satiny mouthfeel. the finish consolidates to notes of tangerine zest and cocoa nib.",ethiopia
1155,"delicate, deeply aromatic. bergamot, nectarine, hazelnut, narcissus, cedar in aroma and cup. sweetly savory with bright, juicy acidity; plush, syrupy mouthfeel. the resonant finish centers around notes of bergamot, narcissus and cedar.",guatemala
1156,"rich-toned, chocolaty, balanced. dark chocolate, hazelnut butter, blackberry, yuzu, fresh-cut oak in aroma and cup. deeply sweet structure with gentle, round acidity; plush, satiny-smooth mouthfeel. particularly rich, complex finish, chocolaty and long.",colombia
1157,"juicy-bright, very sweet, with a tart edge. honeysuckle, strawberry, pipe tobacco, cane sugar, bay leaf in aroma and cup. sweetly juicy acidity; buoyant, lightly syrupy in the mouthfeel. consolidates to florals and pipe tobacco in the long finish.",colombia
1158,"richly sweet-savory. red currant, narcissus, tamarind, cedar, brown sugar in aroma and cup. bittersweet structure with bright acidity; crisp, velvety mouthfeel. sweetly tart finish leads with tamarind notes, supported by narcissus and cedar.",kenya
1159,"cleanly fruit-forward, high-toned. strawberry guava, lemon verbena, cocoa nib, freesia, myrrh in aroma and cup. sweet-tart structure with bright, juicy acidity; viscous, syrupy mouthfeel. resonant, fruit-driven finish with notes of strawberry guava, lemon verbena and cocoa nib far into the long.",costarica
1160,"richly fruit-toned, candy-like. pineapple saltwater taffy, cotton candy, baking chocolate, orange zest, cedar in aroma and cup. sweet structure with brisk acidity; satiny-smooth mouthfeel. crisply sweet finish with notes of cotton candy and orange zest supported by cedar undertones.",colombia
1161,"balanced, richly fruity, floral-toned. mulberry, dark chocolate, almond brittle, wisteria, tangerine zest in aroma and cup. sweetly tart structure with bright acidity; full, syrupy mouthfeel. chocolaty, berry-driven finish with notes of almond brittle and tangerine zest.",hawaii
1162,"evaluated as espresso. crisply chocolaty, citrus-toned. baking chocolate, grapefruit zest, marjoram, almond, cedar in aroma and small cup. velvety mouthfeel; chocolaty-tart finish. chocolate richly dominates in three parts milk.",honduras
1163,"deeply sweet, intense, perfumy. guava, ripe banana, chocolate fudge, oak, lily in aroma and cup. juicy-sweet and lactic (yogurty) in structure with pleasingly tart acidity; syrupy-smooth mouthfeel. crisply sweet finish consolidates to notes of chocolate fudge, lily and oak.",ethiopia
1164,"rich-toned, chocolaty and floral. baking chocolate, honeysuckle, lemon verbena, almond butter, cedar in aroma and cup. sweet-tart structure with bright, juicy acidity; satiny-smooth mouthfeel. chocolate up front in the short finish, followed by almond and lemon verbena in the long.",salvador
1165,"evaluated as espresso. chocolaty and fruit-toned. ripe blueberry, baking chocolate, gardenia, fir, caramel in aroma and small cup. full, syrupy mouthfeel; gently drying, wood-framed finish. in three parts milk, balanced, chocolate-toned and fruity.",nicaragua
1166,"delicate, resonant, crisply sweet. bing cherry, hazelnut, baking chocolate, brown sugar, magnolia in aroma and cup. sweet, gently tart structure with crisp, lively acidity; smooth, velvety mouthfeel. the quiet but long finish centers around notes of baking chocolate, cherry and brown sugar.",ethiopia
1167,"deeply spice-toned, singular and complex. dried red currant, sandalwood, fresh cinnamon, dark chocolate, brown sugar in aroma and cup. richly sweet with wine-toned acidity; viscous, full mouthfeel. the spice-toned finish is supported by notes of dark chocolate and red currant.",yemen
1168,"balanced, complex, rich-toned. cocoa nib, pluot, tangerine zest, star jasmine, lemon verbena in aroma and cup. deeply sweet, high-toned structure with juicy, vibrant acidity; plush, syrupy mouthfeel. the long, resonant finish maintains the multi-layered notes from the cup.",hawaii
1169,"crisply sweet, roast-rounded. date, orange zest, kola nut, lightly scorched cedar, vanilla bean in aroma and cup. sweet-savory structure with crisply bittersweet acidity; lightly velvety mouthfeel. sweetly nut-toned finish with hints of vanilla.",rwanda
1170,"delicate, elegant, sweetly bright. bergamot, cocoa nib, dried mango, freesia, fresh-cut oak in aroma and cup. sweet-toned structure with sparkling acidity; silky-smooth mouthfeel. gently citrusy, cocoa-toned finish.",colombia
1171,"delicately sweet-tart, floral-toned. narcissus, apricot, cocoa nib, lemon verbena, frankincense in aroma and cup. sweet-tart structure with delicately juicy acidity; very full, syrupy mouthfeel. cocoa nib and narcissus focus the long, lingering finish.",ethiopia
1172,"balanced, deeply sweet-savory. nutella, plum, jasmine, cedar, maple syrup in aroma and cup. sweet-savory structure with pert acidity; velvety-smooth mouthfeel. the flavor-saturated finish centers around notes of nutella and plum with cedar undertones.",sumatra
1173,": anaerobic intrigue, gracefully balanced. delicately tangy/tart, sweetly herb- and cocoa-toned. clove, cocoa, tangerine zest, honey, orchid in aroma and cup. lightly juicy and sweetly tart in structure; satiny in mouthfeel. the finish is cocoa-centered yet deeply and subtly nuanced.",ethiopia
1174,"richly cocoa-toned, citrusy. tangerine, dark chocolate, pecan, marjoram, narcissus in aroma and cup. gently bright acidity; crisp, creamy mouthfeel. chocolaty finish with undertones of tangerine and pecan.",colombia
1175,"delicately sweet, deeply savory. butterscotch, cocoa nib, black currant, frankincense, marjoram in aroma and cup. crisply sweet-tart structure with balanced acidity; full, syrupy-smooth mouthfeel. the cocoa-toned finish is supported by notes of butterscotch and marjoram.",kenya
1176,"chocolate-toned, richly sweet-savory. dark chocolate, hop flowers, black cherry, singed oak, maple syrup in aroma and cup. bittersweet structure with gentle, round acidity; velvety mouthfeel. the crisp, quiet finish consolidates to cocoa-toned, pleasantly smoky oak with a hint of black cherry.",guatemala
1177,"richly spice- and fruit-toned. nectarine, clove, narcissus, cocoa nib, cedar in aroma and cup. brightly sweet structure with vibrant, juicy acidity; full, syrupy-smooth mouthfeel. the balanced finish leads with notes of cocoa nib and nectarine, supported by clove, cedar and a hint of narcissus.",indonesia
1178,"sweetly fermenty, chocolaty. milk chocolate, black cherry, wine barrel, cedar, tangerine zest in aroma and cup. sweet-tart structure with winey acidity; plush, syrupy mouthfeel. fruity, chocolaty finish with aromatic wood undertones.",honduras
1179,"fruity and crisply chocolaty. green banana, cane sugar, dark chocolate, cedar, cashew in aroma and cup. sweetly tart with sharp acidity; full, velvety mouthfeel. the finish consolidates to notes of chocolate-toned banana and cashew.",ethiopia
1180,"deeply and richly sweet, chocolate- and berry-toned. blackberry, dark chocolate fudge, almond nougat, agave syrup, fresh-cut cedar in aroma and cup. sweet-toned structure with juicy-bright acidity; very full, satiny mouthfeel. the crisp finish consolidates to notes of dark chocolate fudge and blackberry.",ethiopia
1181,"richly sweet, deeply savory. wisteria, red currant, tangerine zest, tamarind, cedar in aroma and cup. balanced structure with vibrant acidity; full, syrupy-smooth mouthfeel. the finish leads with wisteria and red currant.",kenya
1182,"richly and brightly sweet-savory. raspberry, lemon verbena, cocoa nib, cedar, pink grapefruit zest in aroma and cup. complex, bittersweet structure with juicy acidity; lightly satiny mouthfeel. the finish consolidates to notes of cocoa nib and pink grapefruit zest.",kenya
1183,"savory-sweet, deep and juicy. pomegranate, ginger flower, dark chocolate, pomelo zest, cedar in aroma and cup. savory-leaning structure with cola-like, phosphoric acidity; viscous, creamy mouthfeel. flavor-saturated finish — long, chocolaty, fruity and spice-toned.",kenya
1184,"sweet-savory, multi-layered, deep-toned. tangerine zest, dark chocolate, goji berry, almond nougat, myrrh in aroma and cup. savory-leaning structure with citrusy acidity; very full, syrupy mouthfeel. resounding, satisfying finish driven by chocolate and citrus.",kenya
1185,"balanced, fruit-toned. dried black cherry, almond nougat, sassafras, oak, lilac in aroma and cup. bright, winey acidity; lightly satiny mouthfeel. crisply sweet-tart finish with notes of black cherry and almond.",brazil
1186,"complex, multi-layered, deeply sweet. lilac, cocoa nib, apricot, almond, tangerine zest in aroma and cup. bright, juicy acidity; plush, syrupy mouthfeel. the resonant finish leads with notes of lilac and plum, balanced by suggestions of crisp cocoa.",colombia
1187,"balanced, complex, classic. red plum, nutella, lavender, lemon verbena, fresh-cut cedar in aroma and cup. gently sweet-tart structure with high-toned acidity; full, viscous mouthfeel. all the flavor notes from the cup, especially red plum and nutella, carry into a harmonious, integrated finish.",guatemala
1188,"richly floral-toned, deeply sweet. jasmine, grapefruit zest, cocoa nib, marjoram, maple syrup in aroma and cup. sweet-toned structure with juicy, bright acidity; syrupy-smooth mouthfeel. balanced, floral, citrusy finish.",honduras
1189,"juicy, vibrant, tartly floral. dried hibiscus, meyer lemon zest, guava, cocoa nib, sandalwood in aroma and cup. balanced, brightly sweet-tart structure with high-toned acidity; silky, viscous mouthfeel. resonant, rich, flavor-laden finish.",costarica
1190,"evaluated as espresso. chocolaty and floral-toned. cocoa powder, gardenia, raisin, fresh-cut fir, molasses in aroma and small cup. velvety mouthfeel; crisp, chocolaty finish with undertones of molasses and fresh-cut fir. in three parts milk, a sweet earthiness surfaces that, combined with persistent cocoa tones, pleasingly complicates the cup.",indonesia
1191,"very sweet, deeply rich. chocolate fudge, almond brittle, mulberry, amber, oak in aroma and cup. sweet-toned structure with gentle, round acidity; plush, syrupy mouthfeel. chocolaty finish with undertones of mulberry and oak.",peru
1192,"intensely fruity and floral-toned, powerfully sweet. pineapple, passionfruit, star jasmine, chocolate fudge, tangerine zest in aroma and cup. sweetly tart structure with winy acidity; plush, syrupy mouthfeel. incredibly long, harmonious, integrated finish.",panama
1194,"high-toned, enticingly sweet. black cherry, narcissus, cashew butter, lemon verbena, juniper bark in aroma and cup. sweet-tart structure with bright acidity; crisp, satiny-smooth mouthfeel. the finish leads with notes of black cherry and lemon verbena, rounding to creamy cashew in the long.",guatemala
1195,"high-toned, richly bittersweet. bergamot, lychee, star jasmine, cocoa nib, cedar in aroma and cup. sweetly tart with juicy-bright acidity; very full, satinly mouthfeel. crisp, tart finish with notes of lychee and cocoa nib.",ethiopia
1196,"richly fruit-forward, floral-toned. lychee, tea rose, dark chocolate, orange zest, sandalwood in aroma and cup. savory-leaning structure with bright acidity; full, satiny-smooth mouthfeel. cedar notes support the crisply fruit-toned finish.",panama
1197,"fruit-toned, sweetly tart. strawberry guava, lemon balm, dark chocolate, tangerine zest, cane sugar in aroma and cup. sweetly tart with bright, juicy acidity; lightly syrupy mouthfeel. delicately fruity finish with undertones of strawberry and deep chocolate.",hawaii
1198,"sweet-toned, fruit-centered. raisin, brown sugar, lemon zest, prairie flowers, oak in aroma and cup. sweet structure with brisk acidity; medium-bodied, velvety-smooth mouthfeel. the gently drying finish consolidates to notes of brown sugar and oak with hints of lemon zest.",taiwan
1199,"juicy, bright, confidently fruit- and floral-toned. candy cap mushroom, dark chocolate, kefir, plumeria, mesquite in aroma and cup. tangy-sweet structure with lactic-toned acidity; plush, syrupy mouthfeel. long, resonant, flavor-saturated finish.",ethiopia
1200,"vibrantly fruit-toned, intensely sweet-tart. mango, cocoa nib, agave syrup, lemon thyme, magnolia in aroma and cup. sweet-tart structure with perky acidity; plush, syrupy mouthfeel. crisp fruit-forward finish with undertones of agave syrup and lemon thyme.",ethiopia
1201,"delicate, high-toned, complex. guava, cocoa nib, narcissus, sandalwood, hazelnut butter in aroma and cup. sweet-tart structure with bright, juicy acidity; very smooth, syrupy mouthfeel. resonant finish consolidates to attractive notes of guava and cocoa nib.",colombia
1202,"gently fruit-toned, integrated and balanced. pineapple, almond nougat, redwood, narcissus, marjoram in aroma and cup. sweetly tart with juicy, high-toned acidity; vibrant, syrupy mouthfeel. the finish centers around notes of pineapple and almond.",peru
1203,"crisply sweet, chocolaty. baking chocolate, raisin, cedar, almond, lily in aroma and cup. sweet-toned structure with brisk acidity; velvety mouthfeel. gently drying finish consolidates to notes of chocolate-toned raisin and cedar.",colombia
1204,"delicately sweet, floral-toned. honeysuckle, red grape, cashew, oak, brown sugar in aroma and cup. sweet structure with gentle acidity; smooth, satiny mouthfeel. the finish consolidates to notes of red grape, cashew, and brown sugar.",honduras
1205,"caramelly, delicately sweet-savory. peach, caramel, shiitake, redwood, clover flowers in aroma and cup. gently brisk and sweet-tart in structure; satiny in mouthfeel. the finish is wispy and delicate: peach and caramel.",indonesia
1206,"cocoa-toned, gently bright. cocoa powder, cashew, date, magnolia, fresh-cut fir in aroma and cup. sweet structure with delicately bright acidity; velvety-smooth mouthfeel. nut-toned, crisply chocolaty finish.",hawaii
1207,"complex, sweetly pungent. nectarine, magnolia, musk, cashew butter, maple syrup in aroma and cup. briskly sweet structure with savory undertones; satiny-smooth mouthfeel. crisply sweet-savory finish.",hawaii
1208,"tropical fruit-toned, juicy and bright. lychee, mango, almond butter, osmanthus, oak in aroma and cup. sweet in structure with winey acidity; crisp, syrupy mouthfeel. fruit-driven finish supported by notes of almond and oak.",hawaii
1209,"richly sweet, deeply savory. dried persimmon, baking chocolate, hop flowers, myrrh, tarragon in aroma and cup. savory-sweet structure with gentle, round acidity; very smooth, satiny mouthfeel. the rich, resonant, exceptionally long finish centers around notes of persimmon and chocolate supported by myrrh and tarragon.",hawaii
1210,"sweet-toned, crisply chocolaty. baking chocolate, raisin, carnation, cashew, fir in aroma and cup. sweet-savory structure with brisk acidity; lightly silky mouthfeel. gently drying, wood-framed finish with hints of carnation and cashew.",guatemala
1211,"dried mulberry, lemon verbena, apple blossom, cocoa nib, wild honey in aroma and cup. sweet, high-toned structure with fruity acidity; full, satiny-smooth mouthfeel. cocoa- and mulberry-driven finish.",colombia
1212,"sweetly spice-toned. black currant, tea rose, pink peppercorn, toffee, oak in aroma and cup. sweet structure with bright, juicy acidity; crisp, velvety mouthfeel. the quiet finish consolidates to notes of black currant and pink peppercorn.",kenya
1213,"deeply fruity, richly chocolaty. grape candy, chocolate fudge, magnolia, walnut butter, agave syrup in aroma and cup. crisply sweet-taert structure with brisk acidity; plush, syrupy mouthfeel. quietly fruit-toned, chocolaty finish.",nicaragua
1214,"delicate, sweetly herbaceous, caramel-toned. lemon verbena, black tea, caramel, oak, a hint of honeysuckle in aroma and cup. sweet-toned structure with gentle, round acidity; crisp, velvety mouthfeel. the quiet finish centers around notes of lemon verbena and caramel.",ethiopia
1215,"balanced, delicately sweet-tart. dark chocolate, magnolia, goji berry, almond brittle, blood orange in aroma and cup. sweetly tart structure with vibrant acidity; crisp, silky-smooth mouthfeel. the pleasing finish centers around notes of dark chocolate and goji berry.",panama
1216,"juicy, fruit-toned. dried plum, lychee, cocoa nib, narcissus, bergamot in aroma and cup. sweetly tart structure with bright, vibrant acidity; crisp, satiny mouthfeel. complex, long floral- and fruit-toned finish.",colombia
1217,"high-toned, richly sweet-tart-savory. raspberry jam, dark chocolate, pie cherry, almond, cedar in aroma and cup. sweet-toned with tart-savory acidity; crisp, satiny mouthfeel. deeply chocolaty and fruit-toned in the finish.",nicaragua
1218,"delicately fruit-toned, wood-framed. plum, fresh-cut cedar, lily, cocoa powder, orange zest in aroma and cup. sweet-tart structure with brisk acidity; delicate, silky mouthfeel. cocoa nib and orange zest carry the crisp, quiet finish.",costarica
1219,"nuanced, multi-layered, complex. red currant, honeysuckle, pomegranate, cocoa nib, cedar in aroma and cup. sweet-tart structure with bright, vibrant acidity; plush, syrupy-smooth mouthfeel. the flavor-saturated finish consolidates to notes of red currant and cocoa nib, with undertones of cedar.",kenya
1220,"evaluated as espresso. spice-toned, richly sweet-savory. baking spices, mulberry, dark caramel, marjoram, narcissus in aroma and small cup. nectar-like mouthfeel; crisp, sweet finish. in cappuccino-scaled milk, mulberry and clove notes lead, with undertones of dark caramel and narcissus.",indonesia
1221,"deeply, delicately aromatic, high-toned. strawberry guava, cocoa nib, mandarinquat, brown sugar, hazelnut in aroma in cup. sweetly tart with bright, balanced acidity; silky, lightly viscous mouthfeel. flavor-saturated, long, engaging finish.",hawaii
1222,"richly aromatic, floral-toned. orange blossom, baking chocolate, vanilla bean, apricot, the scent of oak forest in aroma and cup. crisply sweet structure with floral acidity; very smooth, full mouthfeel. the chocolaty finish is supported by notes of orange blossom and vanilla bean.",costarica
1223,"evaluated as espresso. complex, multilayered, cerebral. dark chocolate, petrichor, ripe pluot, tiger lily, pink peppercorn in aroma and small cup. lush, syrupy mouthfeel; crisp, rich-toned finish. layers of aroma and flavor in three parts milk, from sweet pluot and dark chocolate to spice-toned tiger lily and pink peppercorn in the finish.",ethiopia
1224,"fresh, integrated, deep-toned. caramelized mango, ginger blossom, cashew butter, lemon-thyme, palo santo in aroma and cup. sweet structure with gently bright acidity; full, syrupy mouthfeel. the resonant, satisfying finish leads with notes of mango and ginger blossom with undertones of palo santo.",hawaii
1225,"delicate, sweetly fruit-toned. red grape, cashew butter, ginger blossom, fresh-cut fir, caramel in aroma and small cup. gentle, round acidity; velvety-smooth mouthfeel. the quiet, fruity finish is supported by notes of caramel and fir.",ethiopia
1226,"sweetly pungent, richly nut- and floral-toned. magnolia, hazelnut butter, baking chocolate, plum, agave syrup in aroma and cup. sweet structure with brisk acidity; very full, syrupy-smooth mouthfeel. the rich-toned finish consolidates to notes of magnolia and hazelnut butter with undertones of red plum.",honduras
1227,"balanced, rich-toned, deeply sweet. strawberry-guava, cocoa nib, narcissus, almond butter, fresh-cut oak in aroma and cup. sweet in structure with appealing savory undertones and juicy acidity; very full, syrupy mouthfeel. finish consolidates to cocoa-toned guava supported by hints of narcissus.",hawaii
1228,"crisply sweet, intentionally fermenty. whiskey barrel, cocoa powder, raisin, fresh-cut fir, pistachio in aroma and cup. sweet-savory structure with brisk acidity; velvety mouthfeel. sweetly fermenty finish with notes of whiskey cask and fresh fir.",colombia
1229,"very sweet, richly savory. honey, tiger lily, fresh pipe tobacco, ginseng, date in aroma and cup. richly sweet structure with juicy-tart acidity; syrupy-smooth mouthfeel. finish leads with notes of pipe tobacco and flowers.",yemen
1230,"delicate, balanced, sweet-toned. baking chocolate, pear, almond, fresh-cut oak, agave syrup in aroma and cup. brisk acidity; velvety-smooth mouthfeel. sweetly nutty finish supported by notes of agave and oak.",burundi
1231,"sweetly roast-toned, floral. gardenia, dark chocolate, raisin, gently scorched oak, cashew in aroma and cup. sweet-toned structure with gentle, round acidity; delicate, velvety mouthfeel. dark chocolate and gardenia lead in the finish, supported by smoky oak.",hawaii
1232,"richly sweet, deeply savory. fig, dark chocolate, magnolia, cashew butter, a hint of grappa barrel in aroma and cup. sweet-toned structure with juicy acidity; full, syrupy-smooth mouthfeel. the finish centers around notes of dark chocolate and cashew butter with undertones of dried fig.",brazil
1233,"cleanly fruit-toned, tropical. passion fruit, pineapple, honey, hazelnut, a hint of fresh yogurt in aroma and cup. tart-leaning structure with bright acidity; plush, nectar-like mouthfeel. finish simplifies to notes of crisply sweet pineapple with hazelnut undertones.",ethiopia
1234,"intense, eccentric anaerobic candy-bomb. very sweet, intensely fruity and spicy. bubblegum, musk, raspberry, pistachio, ginger in aroma and cup. profoundly sweet in structure with a touch of delicately tart acidity. velvety, lively mouthfeel. in the finish candyish notes fade and musky flowers come forward.",colombia
1235,"gently fruit-toned, lyrically sweet. nectarine, cherry blossom, almond butter, oregano, honey in aroma and cup. richly sweet with high-toned acidity; full, syrupy mouthfeel. integrated finish that retains all the notes from the aroma and cup.",ethiopia
1236,"bright, sweetly savory, deep-toned. black currant, dark chocolate, cedar, hop flowers, jasmine in aroma and cup. richly bittersweet structure with floral-toned acidity; plush, syrupy mouthfeel. the resonant finish centers around notes of black currant, dark chocolate and hop flowers.",kenya
1237,"deeply spice-toned, richly layered. black currant, clove, dark chocolate, tangerine zest, cedar in aroma and cup. very sweet with winey acidity; creamy-smooth mouthfeel. the long, chocolaty finish is supported by notes of black currant and clove.",yemen
1238,"fruit-driven, subtly lactic. grape jelly, pineapple kefir, dark chocolate, amber, salted caramel in aroma and cup. tangy acidity; creamy-smooth mouthfeel. the lactic-leaning finish gets ballast from dark chocolate notes.",colombia
1239,"complex, delicate, sweetly tart. star jasmine, pink grapefruit zest, white peach, cedar, bay leaf in aroma and cup. crisp, sweetly tart structure with bright acidity; silky-smooth mouthfeel. grapefruit, white peach and cedar notes lead in the layered finish.",ethiopia
1240,"delicate, fruit- and floral-toned. apricot, honeysuckle, cocoa nib, white peppercorn, myrrh in aroma and cup. deeply sweet structure with gently bright acidity; silky-smooth mouthfeel. quiet but pretty finish with notes of apricot and white peppercorn and a hint of honeysuckle in the long.",colombia
1241,"sweet-toned, floral. magnolia, yellow plum, almond, cane sugar, cedar in aroma and cup. sweetly tart structure with gently bright acidity; satiny mouthfeel. floral- and aromatic wood-toned finish.",guatemala
1242,"fruit-forward, deeply sweet. blueberry, dark chocolate, magnolia, cedar, almond in aroma and cup. sweet structure with gentle acidity; crisp, velvety mouthfeel. chocolaty finish with blueberry and almond undertones.",nicaragua
1243,"deep-toned, richly sweet. dark chocolate, hazelnut butter, golden raisin, carnation, cedar in aroma and cup. balanced structure with gentle acidity; very full, syrupy mouthfeel. sweetly nut-toned finish with gently spicy aromatic wood suggestions.",uganda
1244,"gently fruit-forward. raspberry, honey, almond butter, magnolia, grapefruit zest in aroma and cup. sweet-toned structure with brisk acidity; plush, syrupy mouthfeel. the sweet-toned finish centers around notes of raspberry, magnolia and honey.",costarica
1245,"crisply sweet-tart, richly fruit-toned costa rica coffee produced by oscar and francisca chacon and roasted by durango coffee in durango, colorado.",costarica
1246,"balanced, accessible, cocoa-toned. cocoa nib, plum, nougat, lemon verbena, magnolia in aroma and cup. sweet-toned with pert acidity; velvety mouthfeel. the finish consolidates to cocoa-toned nougat with lemon verbena undertones.",jamaica
1247,"evaluated as espresso. delicately bright, subtly intricate. meyer lemon zest, narcissus, mango, dark chocolate, fresh-cut fir in aroma and small cup. gently fruit- toned, wood-framed finish. mango and dark chocolate mingle in three parts milk for a deep, fruity cappuccino.",ethiopia
1248,"evaluated as espresso. bright, juicy, sweetly tart. pomegranate, hazelnut, cedar, freesia-like flowers, molasses in aroma and small cup. syrupy-smooth mouthfeel; crisp, gently drying finish. rounder and more nut-toned in three parts milk.",ethiopia
1249,"sweetly nut-toned. hazelnut butter, red apple, lemon verbena, cedar, agave syrup in aroma and cup. sweet structure with gently brisk acidity; very full, satiny mouthfeel. the nut-toned finish is supported by suggestions of lemon verbena and cedar.",guatemala
