,description
910,"SanFull Coffee Roasters
Premium Espresso
|Roaster Location:
|Taoyuan City, Taiwan
|Coffee Origin:
|Indonesia; Colombia; Guatemala
|Roast Level:
|Medium
|Agtron:
|46/60
|Est. Price:
|NT $250/227 grams
|Review Date:
|May 2023
|Aroma:
|8
|Body:
|8
|Flavor:
|9
|Aftertaste:
|8
|With Milk:
|9
Blind Assessment
Evaluated as espresso. Sweetly roast-rounded. Baking chocolate, lily, prune, gently scorched oak, orange zest in aroma and small cup. Crisp, full mouthfeel; chocolaty finish with undertones of orange zest. In three parts milk, richly chocolaty and deep, elevated by notes of sweet florals and orange zest.
Notes
A blend comprised of coffees from Indonesia, Colombia and Guatemala, roasted for espresso applications. SanFull Coffee Roasters, based in Taoyuan City Taiwan, is a specialty coffee roaster founded in 1988. Visit www.sanfullcoffee.com for more information.
Bottom Line
A pleasing darker-roasted espresso blend with gentle roast notes, lots of chocolate, and sweet florals throughout. At its best in cappuccino format.
Explore Similar Coffees
Click here for more reviews from SanFull Coffee Roasters"
911,"|Roaster Location:
|Antigua, Guatemala
|Coffee Origin:
|La Democracia, Huehuetenango, Guatemala
|Roast Level:
|Medium-Light
|Agtron:
|60/74
|Est. Price:
|$30.00/12 ounces
|Review Date:
|August 2023
|Aroma:
|9
|Acidity/Structure:
|8
|Body:
|8
|Flavor:
|9
|Aftertaste:
|8
Blind Assessment
Richly sweet-savory, cocoa-toned. Cocoa powder, lily, black cherry, fresh-cut oak, agave syrup in aroma and cup. Balanced structure with brisk acidity; crisp, satiny mouthfeel. Finish consolidates to cocoa-toned black cherry and oak.
Notes
Produced by Alejandro Solís of Finca Huixoc entirely of the Geisha variety of Arabica, and processed by the washed method (fruit skin and flesh are removed from the beans before they are dried). El Gran Cafe is a coffee shop located in the heart of Antigua, Guatemala whose mission is to roast and serve organic-certified coffees produced at its own Finca La Esperanza just outside of town. Featured in El Gran Cafe’s lineup are also coffees from friends and neighbors in the region, along with award-winning and exceptional coffees from other regions of Guatemala. Visit https://El Gran.cafe for more information.
Bottom Line
An understated Guatemala Geisha with cocoa-toned stone fruit and bittersweet florals throughout.
Explore Similar Coffees
Click here for more reviews from El Gran Cafe
Click here for more information about coffees from Guatemala"
912,"|Roaster Location:
|Minneapolis, Minnesota
|Coffee Origin:
|Ka‘ū growing region, Big Island of Hawai’i
|Roast Level:
|Light
|Agtron:
|64/86
|Est. Price:
|$30.00/4 ounces
|Review Date:
|September 2022
|Aroma:
|9
|Acidity/Structure:
|8
|Body:
|9
|Flavor:
|9
|Aftertaste:
|8
Blind Assessment
Delicately sweet-tarty, fruity and lively. Baking chocolate, pomegranate, lime zest, cashew butter, oak in aroma and cup. Sweet-tart structure with gently bright, winey acidity; crisp, silky mouthfeel. Baking chocolate and lime zest are central in the finish.
Notes
A blend of Typica, Red Bourbon and Red Catuai varieties of Arabica produced by Miranda Farms and JN Farms, processed using a proprietary method involving wine yeasts. The decaffeinated coffees were processed by Kona Decaf in Holualoa using pressurized carbon dioxide gas rather than chemical solvents to remove about 50% of the total caffeine, making this a “half-caf” coffee rather than a coffee decaffeinated using industrial methods that remove almost all of the caffeine. Paradise prides itself on quality and freshness, craft-roasting coffees in small batches only after orders are placed. Visit www.paradiseroasters.com or call 763-433-0626 for more information.
Bottom Line
A partially decaffeinated coffee of exemplary quality and distinction. Coffees of three traditional varieties are separately processed using Miguel Meza’s “champagne” method, blended, and subjected to partial decaffeination with no use of solvents. The result is a delightfully fruit-driven, chocolaty, low-caffeine cup.
Explore Similar Coffees
Click here for more reviews from Paradise Roasters"
913,"Wonderstate Coffee
Mexico Ozolotepec
|Roaster Location:
|Viroqua, Wisconsin
|Coffee Origin:
|Oaxaca, Mexico
|Roast Level:
|Medium-Light
|Agtron:
|57/76
|Est. Price:
|$19.00/12 ounces
|Review Date:
|September 2022
|Aroma:
|9
|Acidity/Structure:
|8
|Body:
|9
|Flavor:
|9
|Aftertaste:
|8
Blind Assessment
Deeply sweet, crisply chocolaty. Baking chocolate, almond nougat, pear, fresh-cut oak, pink grapefruit zest in aroma and cup. Sweet-toned structure with brisk acidity; full, syrupy-smooth mouthfeel. The finish centers around notes of almond nougat and pink grapefruit zest.
Notes
Produced by smallholding members of the UNECAFE Cooperative, from trees of the Typica, Bourbon, Caturra, Mundo Novo and Marsellesa varieties of Arabica, and processed by the washed method. Certified organic. Wonderstate Coffee, formerly Kickapoo Coffee, is an award-winning roaster based in rural Wisconsin known for its commitment to guaranteeing higher pay for farmers and being the country’s first 100% solar-powered roastery. Visit wonderstate.com for more information.
Bottom Line
A classic Mexico cup — sweet, balanced, chocolaty and nut-toned.
Explore Similar Coffees
Click here for more reviews from Wonderstate Coffee
Click here for more information about coffees from Mexico
This review originally appeared in the September, 2022 tasting report: Mexico Coffee: Processing Innovation, Cooperatives, and the Tradition of Collaboration"
914,"|Roaster Location:
|Sacramento, California
|Coffee Origin:
|Agaro Gera, Jimma Zone, Oromia State, Ethiopia
|Roast Level:
|Light
|Agtron:
|62/80
|Est. Price:
|$25.50/12 ounces
|Review Date:
|September 2022
|Aroma:
|9
|Acidity/Structure:
|9
|Body:
|9
|Flavor:
|9
|Aftertaste:
|9
Blind Assessment
Elegantly bright, delicately juicy, richly aromatic. Cocoa nib, ginger flower, apricot, pink grapefruit zest, hint of thyme in aroma and cup. Sweet-tart structure with juicy acidity; plush, syrupy mouthfeel. Resonant, long, flavor-saturated finish.
Notes
Produced by smallholding farmers of the Kata Muduga Cooperative in Ethiopia’s Jimma Zone, from local heirloom varieties of Arabica, and processed by the washed method. Temple Coffee is a quality-focused retail and wholesale specialty roaster active in Sacramento, California since 2005. Committed to sourcing, roasting and brewing the finest coffees, Temple features coffee from distinguished single estates and cooperatives around the world. Visit www.templecoffee.com or call 916-454-1282 for more information.
Bottom Line
A high-toned, classic washed Ethiopia cup: cocoa-toned, citrusy, floral.
Explore Similar Coffees
Click here for more reviews from Temple Coffee
Click here for more information about coffees from Ethiopia"
915,"|Roaster Location:
|Salem, Massachusetts
|Coffee Origin:
|Guji Zone, Oromia Region, Southern Ethiopia
|Roast Level:
|Medium-Light
|Agtron:
|60/74
|Est. Price:
|$18.00/12 ounces
|Review Date:
|July 2020
|Aroma:
|9
|Acidity/Structure:
|8
|Body:
|9
|Flavor:
|9
|Aftertaste:
|8
Blind Assessment
Deeply aromatic, richly sweet-tart. Dried ripe cherry, honeysuckle, almond butter, baking chocolate, wine barrel in aroma and cup. Sweetly tart structure with fruit-toned, winy acidity; full, syrupy-smooth mouthfeel. Finish consolidates to notes of almond butter and baking chocolate with support from dried cherry.
Notes
Southern Ethiopia coffees like this one are largely produced from distinctive indigenous Ethiopian varieties of Arabica long grown in the region. This is a dry-processed or “natural” version, meaning the beans were dried inside the fruit rather than after the fruit has been removed, as is the case with washed coffees. Atomic Coffee Roasters is a retail and wholesale coffee roaster on the North Shore of Massachusetts with a cafe in Beverly and roastery in Salem. Visit www.atomicroastery.com or call 978-910-0489 for more information.
Bottom Line
A fruit-centered, natural-processed Guji cup with the slightest, very pleasant, hint of sweet ferment, evocative of an oak barrel that’s held a fine wine.
Explore Similar Coffees
Click here for more reviews from Atomic Coffee Roasters
Click here for more information about coffees from Ethiopia"
916,"|Roaster Location:
|Bozeman, Montana
|Coffee Origin:
|Sidama growing region, southern Ethiopia
|Roast Level:
|Medium-Light
|Agtron:
|58/76
|Est. Price:
|$19.50/12 ounces
|Review Date:
|May 2022
|Aroma:
|9
|Acidity/Structure:
|9
|Body:
|9
|Flavor:
|9
|Aftertaste:
|9
Blind Assessment
Elegantly fruit-toned, juicy and bright. Lychee, cocoa nib, freesia, cedar, almond brittle in aroma and cup. Sweetly tart structure with high-toned acidity; plush, syrupy mouthfeel. Resonant, long, flavor-saturated finish.
Notes
Produced by Asnake Bekele of Belayneh Farms, from local heirloom varieties of Arabica, and processed by the natural method (dried in the whole fruit). Imported by Catalyst Trade. RamsHead Coffee Roasters is a family-owned company founded by Bozeman, Montana natives Caleb and Laura Walker that specializes in direct trade microlot coffees. For more information, visit www.ramsheadcoffee.com.
Bottom Line
A classic natural-processed Sidama cup: balanced, fruit-focused, cocoa-toned and richly sweet.
Explore Similar Coffees
Click here for more reviews from Ramshead Coffee Roasters
Click here for more information about coffees from Ethiopia"
917,"|Roaster Location:
|Santa Rosa de Copan, Honduras
|Coffee Origin:
|Tres Cruces, Lempira Department, Honduras
|Roast Level:
|Medium-Light
|Agtron:
|56/72
|Est. Price:
|$39.00/12 ounces
|Review Date:
|January 2021
|Aroma:
|9
|Acidity/Structure:
|8
|Body:
|8
|Flavor:
|9
|Aftertaste:
|8
Blind Assessment
Crisply sweet, nut-toned. Nutella, plum, cedar, orange zest, a hint of lily in aroma and cup. Sweet structure with gentle, round acidity; velvety-smooth mouthfeel. Floral- and nut-toned finish.
Notes
Spirit Animal Coffee is a Honduras-based coffee roaster that sources green microlot coffees from local Honduran farmers. The company partners with farmers to develop sustainable techniques centered around regenerative agriculture. This lot was Produced by Alejandro Martinez Aguilar from trees of the Bourbon and Catuai varieties of Arabica and processed by the washed method (fruit skin and flesh are removed before drying). Visit spiritanimalcoffee.com
Bottom Line
An impressively straightforward, balanced, sweet-toned Honduras cup with creamy nut and rich floral notes throughout.
Explore Similar Coffees
Click here for more reviews from Spirit Animal Coffee
Click here for more information about coffees from Honduras"
918,"|Roaster Location:
|Chia-Yi, Taiwan
|Coffee Origin:
|Jimma Zone, Oromia region, southern Ethiopia
|Roast Level:
|Light
|Agtron:
|62/86
|Est. Price:
|NT $1,250/4 ounces
|Review Date:
|March 2023
|Aroma:
|9
|Acidity/Structure:
|9
|Body:
|9
|Flavor:
|9
|Aftertaste:
|9
Blind Assessment
Richly sweet, spice-toned. Bergamot, nectarine, almond butter, cocoa nib, star jasmine in aroma and cup. Sweet-toned structure with gently bright acidity; full, syrupy mouthfeel. Focused, juicy finish centers around notes of bergamot and cocoa nib.
Notes
Produced by smallholding farmers entirely of the 74110 variety of Arabica, and processed by the traditional washed method (fruit skin and pulp removed before drying). Kakalove Café is a nano-roaster located in the small city of Chia-Yi in Taiwan that strives to procure and roast the finest quality coffee. Visit www.kakalovecafe.com.tw or email [email protected] for more information.
Bottom Line
A classic washed Ethiopia cup with notes of stone fruit, cocoa nib, and distinct florals — harmonious and deep.
Explore Similar Coffees
Click here for more reviews from Kakalove Cafe
Click here for more information about coffees from Ethiopia"
919,"Three Keys Coffee
Ethiopia “Ear Candy” Uraga Guji
|Roaster Location:
|Houston, Texas
|Coffee Origin:
|Guji Zone, Oromia region, southern Ethiopia
|Roast Level:
|Medium-Light
|Agtron:
|60/74
|Est. Price:
|$20/12 ounces
|Review Date:
|November 2020
|Aroma:
|9
|Acidity/Structure:
|8
|Body:
|8
|Flavor:
|9
|Aftertaste:
|8
Blind Assessment
High-toned, crisply sweet-tart. Dried apricot, dark chocolate, rhododendron, cedar, almond in aroma and cup. Sweetly tart with pert acidity; velvety mouthfeel. The fruit-toned finish supported by notes of cedar and dark chocolate.
Notes
Southern Ethiopia coffees like this one are produced from distinctive traditional Ethiopian landrace varieties of Arabica long grown in the region. Processed by the natural method (dried in the whole fruit). Founded in 2019, Three Keys is a craft coffee roastery in Houston, Texas. The name is inspired by the valves of the trumpet, which has been the instrument of choice for some of the most influential jazz musicians and composers. Similarly, Three Keys Coffee speaks a language that’s sophisticated yet accessible to everyone who’s willing to slow down and share a cup. Visit www.threekeyscoffee.com for more information.
Bottom Line
A gently fruit-centered natural-process Ethiopia with deep chocolate and aromatic wood notes throughout.
Explore Similar Coffees
Click here for more reviews from Three Keys Coffee
Click here for more information about coffees from Ethiopia"
920,"|Roaster Location:
|Madison, Wisconsin
|Coffee Origin:
|Burundi, Colombia
|Roast Level:
|Medium-Light
|Agtron:
|59/74
|Est. Price:
|$19.00/12 ounces
|Review Date:
|July 2023
|Aroma:
|9
|Body:
|8
|Flavor:
|9
|Aftertaste:
|8
|With Milk:
|9
Blind Assessment
Brewed in a Toddy Small-Batch Artisan Brewer and evaluated chilled. Balanced, sweetly bright. Honeysuckle, tamarind, mulberry, cedar, orange zest in aroma and cup. Lightly plump, satiny mouthfeel; crisply sweet finish. With milk, complex and resonant, with honeysuckle and mulberry highlights.
Notes
A whole-bean coffee sourced and roasted for cold brewing at home. For this review brewed at the Coffee Review lab using the Toddy Small-Batch Artisan Brewer (45 g. coffee to 500 ml. water, 24 hour soak) and tested chilled, but without ice. Sunburst Cold Brew is a seasonally rotating blend of coffees. This version combines JBC’s Cumba #3 Burundi and Colombia Praga, both washed coffees. JBC Coffee Roasters’ vision is simple: “let the coffee lead the way” through sourcing and roasting the best and most unique coffees available and rewarding the farmers who grow those coffees with substantial premiums. Visit jbccoffeeroasters.com or call 608-256-5282 for more information
Bottom Line
A spot-on Burundi/Colombia blend roasted for at-home cold brew, bright, juicy, and rich-toned with milk.
Explore Similar Coffees
Click here for more reviews from JBC Coffee Roasters"
921,"BEI Coffee Roasters
Brazil Santos #2 Inari Roasting
|Roaster Location:
|Hong Kong, China
|Coffee Origin:
|Sul de Minas, Cerrado Mineiro, Mogiana, and Matas de Minas growing regions, Brazil
|Roast Level:
|Medium-Light
|Agtron:
|58/76
|Est. Price:
|HKD $350/150 grams
|Review Date:
|December 2022
|Aroma:
|9
|Acidity/Structure:
|8
|Body:
|9
|Flavor:
|9
|Aftertaste:
|8
Blind Assessment
Sweetly nutty, crisply chocolaty. Cashew butter, baking chocolate, date, maple syrup, magnolia in aroma and cup. Sweet-toned structure with brisk acidity; full, creamy mouthfeel. The finish consolidates to notes of cashew and maple syrup.
Notes
A blend of Santos #2-grade coffees from a mixture of local varieties of Arabica, processed by the natural method (dried in the whole fruit). BEI Coffee Roasters is a Hong Kong-based specialty roaster focused on microlots and multiple roasting methods for the same coffee. Visit https://www.facebook.com/bei.coffeekan.
Bottom Line
A sweet, chocolate- and nut-toned natural-processed Brazil cup with an especially creamy body.
Explore Similar Coffees
Click here for more reviews from BEI Coffee Roasters
Click here for more information about coffees from Brazil"
922,"|Roaster Location:
|Chicago, Illinois
|Coffee Origin:
|Finca Santa Teresa, Volcan, Panama
|Roast Level:
|Medium-Light
|Agtron:
|60/78
|Est. Price:
|$87.00/12 ounces
|Review Date:
|July 2021
|Aroma:
|9
|Acidity/Structure:
|9
|Body:
|9
|Flavor:
|9
|Aftertaste:
|8
Blind Assessment
Delicately, richly perfumy. Guava, cocoa nib, frankincense, wild honey, lilac in aroma and cup. Sweet in structure with bright, vibrant acidity; silky, levitating mouthfeel. The deeply sweet finish centers around guava, cocoa nib and frankincense.
Notes
Produced at Finca Santa Teresa, entirely of the Gesha (also Geisha) variety of Arabica, and processed by the honey method, in which some sweet pulp or fruit flesh (“honey”) is allowed to adhere to the beans during drying. Big Shoulders Coffee is a Chicago artisan roaster that emphasizes a fresh-roasted, no-nonsense approach to fine coffee. Visit www.bigshoulderscoffee.com or call 312-846-1439 for more information.
Bottom Line
An understated, complex, elegantly aromatic Panama Geisha cup saturated with resiny floral, tropical fruit and honey notes.
Explore Similar Coffees
Click here for more reviews from Big Shoulders Coffee
Click here for more information about coffees from Panama"
923,"|Roaster Location:
|Taitung, Taiwan
|Coffee Origin:
|Ethiopia, Colombia, Costa Rica
|Roast Level:
|Medium-Light
|Agtron:
|59/75
|Est. Price:
|NT$ 450/200 grams
|Review Date:
|December 2023
|Aroma:
|8
|Acidity/Structure:
|7
|Body:
|9
|Flavor:
|9
|Aftertaste:
|8
Blind Assessment
Sweetly wood-framed, berry-driven. Raspberry, fresh-cut fir, maple syrup, lily, lime zest in aroma and cup. Sweet structure with brisk acidity; lightly satiny mouthfeel. Wood-framed finish with raspberry and lime undertones.
Notes
A blend of three coffees: a natural-processed Ethiopia, a washed Colombia, and an enzyme-washed Costa Rica. Bargain Cafe is a specialty coffee roaster in Taitung, Taiwan. Visit https://shopee.tw/iamjiter for more information.
Bottom Line
A crisply aromatic, berry-toned blend with a throughline of rich aromatic wood notes.
Explore Similar Coffees
Click here for more reviews from Bargain Cafe"
924,"|Roaster Location:
|Lincoln, California
|Coffee Origin:
|Kona growing region, “Big Island” of Hawai’i
|Roast Level:
|Medium-Light
|Agtron:
|58/74
|Est. Price:
|$45.99/12 ounces
|Review Date:
|October 2022
|Aroma:
|9
|Acidity/Structure:
|9
|Body:
|9
|Flavor:
|9
|Aftertaste:
|9
Blind Assessment
Richly chocolaty, balanced, deep-toned. Dark chocolate, persimmon, roasted almond butter, magnolia, oak forest in aroma and cup. Sweet in structure with vibrant, apple-like malic acidity; plush, viscous mouthfeel. Integrated, flavor-saturated, very long finish.
Notes
Produced at Mamalahoa Coffee Estatein, entirely of the Typica variety of Arabica, and processed by the traditional washed method (fruit skin and flesh are removed from the beans before they are dried). San Francisco Bay Coffee is one of five coffee brands produced by the family-owned Rogers Family Company. Visit www.sfbaycoffee.com or call 800-829-1300 for more information.
Bottom Line
A classic Kona: balanced and invigorating with deep chocolate, nut, fruit and floral impulses — rich chocolate in particular carries from aroma far into the finish.
Explore Similar Coffees
Click here for more reviews from San Francisco Bay Coffee
Click here for more information about coffees from Hawaii"
925,"|Roaster Location:
|Lexington, Virginia
|Coffee Origin:
|Nyeri growing region, south-central Kenya
|Roast Level:
|Medium-Light
|Agtron:
|60/78
|Est. Price:
|$21.95/12 ounces
|Review Date:
|October 2022
|Aroma:
|9
|Acidity/Structure:
|9
|Body:
|9
|Flavor:
|9
|Aftertaste:
|8
Blind Assessment
Savory-sweet, richly aromatic. Red currant, candycap mushroom, tangerine zest, dark chocolate, cedar in aroma and cup. Savory-sweet structure with high-toned, juicy acidity; full, creamy mouthfeel. Chocolaty finish with notes of red currant and tangerine zest in the short, candycap mushroom in the long.
Notes
Founded in 1990, Roadmap CoffeeWorks, formerly Lexington Coffee Roasters, is an award-winning artisan roasting company based in Lexington, Virginia. Roadmap CoffeeWorks focuses on producing fresh, distinctive and sustainable coffees. Visit www.roadmapcoffeeworks.com or call 800-322-6505 for more information.
Bottom Line
A richly sweet, savory-leaning Kenya coffee with the distinct currant notes characteristic of the origin, along with bittersweet citrus zest and umami impulses.
Explore Similar Coffees
Click here for more reviews from Roadmap CoffeeWorks
Click here for more information about coffees from Kenya"
926,"Grass Coffee Roaster
Alishan Natural
|Roaster Location:
|Yilan, Taiwan
|Coffee Origin:
|Alishan growing region, Taiwan
|Roast Level:
|Medium-Light
|Agtron:
|58/74
|Est. Price:
|NT $1,500/250 grams
|Review Date:
|November 2022
|Aroma:
|8
|Acidity/Structure:
|8
|Body:
|9
|Flavor:
|9
|Aftertaste:
|7
Blind Assessment
Crisply sweet, delicately fruity. Persimmon, hazelnut, tiger lily, fresh-cut fir, brown sugar in aroma and cup. Sweet structure with brisk acidity; syrupy-smooth mouthfeel. The wood-framed finish is crisply sweet into the long.
Notes
Produced at Four Elements Farm in Alishan, Taiwan, and processed by the natural method (dried in the whole fruit). Grass Coffee Roaster is a specialty coffee roaster based in Yilan, Taiwan. Visit www.grasscoffee.com.tw for more information.
Bottom Line
A friendly, accessible Taiwan-grown coffee characterized by richly sweet nut and crisp aromatic wood suggestions.
Explore Similar Coffees
Click here for more reviews from Grass Coffee Roaster"
927,"States Coffee
Kenya Nyeri Gatomboya
|Roaster Location:
|Martinez, California
|Coffee Origin:
|Nyeri growing region, south-central Kenya
|Roast Level:
|Medium-Light
|Agtron:
|57/77
|Est. Price:
|$12.00/8 ounces
|Review Date:
|December 2021
|Aroma:
|9
|Acidity/Structure:
|9
|Body:
|9
|Flavor:
|9
|Aftertaste:
|8
Blind Assessment
Richly sweet, deeply savory. Wisteria, red currant, lime zest, tamarind, sandalwood in aroma and cup. Balanced structure with lively acidity; plush, syrupy-smooth mouthfeel. The bright finish leads with wisteria and red currant in the short; lime grapefruit zest and sandalwood carry the long.
Notes
Despite challenges ranging from unclear government coffee policy and urban encroachment on prime coffee lands to chronically unstable weather, the famed Kenya coffee auction system and its participating cooperatives continue to produce some of the world’s most elegant and distinctive coffees. Available at any States Coffee café location in the San Francisco East Bay area. States Coffee, established in 2015, is a small-batch roastery and bakery that offers coffee, bread and baked goods. For more information on locations and hours visit www.statescoffee.com.
Bottom Line
A classic Kenya with deep fruit and florals, supported by a juicy sweet-savory structure.
Explore Similar Coffees
Click here for more reviews from States Coffee
Click here for more information about coffees from Kenya"
928,"|Roaster Location:
|San Diego, California
|Coffee Origin:
|Antioquia, Colombia
|Roast Level:
|Medium-Light
|Agtron:
|56/76
|Est. Price:
|$23.00/12 ounces
|Review Date:
|October 2020
|Aroma:
|8
|Acidity/Structure:
|8
|Body:
|8
|Flavor:
|9
|Aftertaste:
|8
Blind Assessment
Rich-toned, bittersweet. Tamarind candy, hop flowers, fir, mustard seed, grape leaves in aroma and cup. Savory-sweet structure with brisk acidity; full, velvety mouthfeel. Richly drying finish with suggestions of tamarind and mustard seed.
Notes
Produced by Felipe Trujillo entirely from trees of the Castillo variety of Arabica and processed by the black honey method, in which the skins are removed from the fruit but virtually all of the pulp is allowed to dry on the beans, often resulting in a deep, pungent profile. Jaunt Coffee Roasters is a San Diego-based roaster and café with an extensive coffee and food menu. Visit www.jauntcoffee.com for more information.
Bottom Line
Described by the roaster as “funky,” and in the best sense: fruit-toned, chocolaty and floral, all with a sweet-savory twist.
Explore Similar Coffees
Click here for more reviews from Jaunt Coffee Roasters
Click here for more information about coffees from Colombia"
929,"Coffee By Design
Ethiopia Djimma Gera Anaerobic
|Roaster Location:
|Portland, Maine
|Coffee Origin:
|Djimmah, Oromia Region, Ethiopia
|Roast Level:
|Medium-Light
|Agtron:
|60/78
|Est. Price:
|$24.00/12 ounces
|Review Date:
|August 2022
|Aroma:
|9
|Acidity/Structure:
|8
|Body:
|9
|Flavor:
|9
|Aftertaste:
|8
Blind Assessment
High-toned, sweetly tart. Lychee, tamarind, dark chocolate, marjoram, fresh-cut oak in aroma and cup. Sweet-toned structure with gentle, round acidity; plush, creamy mouthfeel. Long, lingering finish with notes of dark chocolate and tamarind.
Notes
Produced by smallholding farmers from local heirloom varieties of Arabica and processed by the natural anaerobic method, wherein whole fruit is fermented with limited oxygen before drying. Founded in 1994, Coffee By Design is a specialty coffee roaster in Portland, Maine that also operates three coffee shops in town, as well as one in Freeport. Visit www.coffeebydesign.com.
Bottom Line
A sweet, fruit-toned anaerobic Ethiopia cup with particularly viscous, creamy mouthfeel and inviting tropical fruit notes.
Explore Similar Coffees
Click here for more reviews from Coffee By Design
Click here for more information about coffees from Ethiopia"
930,"Wildland Coffee
Limited Edition Light Roast Fair Trade Brew Bag
|Roaster Location:
|San Diego, California
|Coffee Origin:
|Matituy, Nariño Department, Colombia
|Roast Level:
|NA
|Agtron:
|0/0
|Est. Price:
|$30.00/10 single-serve brew bags
|Review Date:
|April 2023
|Aroma:
|8
|Acidity/Structure:
|8
|Body:
|8
|Flavor:
|8
|Aftertaste:
|7
Blind Assessment
Evaluated in brew bag format with a steeping time of 8 minutes in 8 ounces of water. Crisply cocoa-toned, richly bittersweet. Cocoa powder, hop flowers, cashew, date, fresh-cut fir in aroma and cup. Sweet-savory structure with gentle, round acidity; full, velvety mouthfeel. Gently drying, cocoa- and nut-toned finish.
Notes
Produced at El Caracoli Farm and processed by the traditional washed method (fruit skin and pulp removed before drying). Packaged in brew bag format in-house. Wildland Coffee, based in SanDiego, specializes in single-serve brew bags and also packages custom brew bags for other roasters on a wholesale basis. Visit www.wildlandcoffee.co for more information.
Bottom Line
A friendly, accessible Colombia Pacamara in brew bag format: crisply cocoa-toned, smooth and velvety.
Explore Similar Coffees
Click here for more reviews from Wildland Coffee
Click here for more information about coffees from Colombia
This review originally appeared in the April, 2023 tasting report: Coffee Brew Bags: Convenient, But How Good Are They?"
931,"|Roaster Location:
|Hilo, Hawaii
|Coffee Origin:
|Garzón, Huila Department, Colombia
|Roast Level:
|Light
|Agtron:
|66/84
|Est. Price:
|$40.00/6 ounces
|Review Date:
|October 2023
|Aroma:
|9
|Acidity/Structure:
|9
|Body:
|8
|Flavor:
|9
|Aftertaste:
|8
Blind Assessment
Spice-toned, very nuanced. Pomegranate, ginger, wisteria, bay leaf, cocoa nib in aroma and cup. High-toned acidity; silky mouthfeel. Spice-toned finish with notes of ginger and bay leaf.
Notes
Produced by Delfin Carvajal and his six brothers of Finca El Corozal, entirely of the Colombia Pink Bourbon variety of Arabica, and processed by the natural method (dried in the whole fruit). Paradise prides itself on quality and freshness, craft-roasting coffees in small batches only after orders are placed. Visit paradiseroasters.com or call 763-433-0626 for more information.
Bottom Line
Aromatically driven by notes of warming spices and richly sweet-tart in the cup, this Colombia Pink Bourbon is multi-layered and bright.
Explore Similar Coffees
Click here for more reviews from Paradise Roasters
Click here for more information about coffees from Colombia"
932,"|Roaster Location:
|Lexington, Virginia
|Coffee Origin:
|Santa Maria de Dota, Costa Rica
|Roast Level:
|Medium-Light
|Agtron:
|60/78
|Est. Price:
|$23.00/12 ounces
|Review Date:
|June 2022
|Aroma:
|9
|Acidity/Structure:
|9
|Body:
|9
|Flavor:
|9
|Aftertaste:
|8
Blind Assessment
Sweetly tart, juicy and vibrant. Pink grapefruit, nectarine, cocoa nib, lavender, cedar in aroma and cup. High-toned structure with sweet, lively acidity; full, syrupy mouthfeel. The resonant finish consolidates to notes of cocoa-toned fruit supported by cedar.
Notes
Produced at Finca Trinidad from trees of the Caturra and Catuai varieties of Arabica, and processed by the natural method (dried in the whole fruit). Founded in 1990, Roadmap CoffeeWorks, formerly Lexington Coffee Roasters, is an award-winning artisan roasting company based in Lexington, Virginia. Roadmap CoffeeWorks focuses on producing fresh, distinctive and sustainable coffees. Visit www.roadmapcoffeeworks.com or call 800-322-6505 for more information.
Bottom Line
A harmonious, integrated natural-processed Costa Rica cup: juicy, deep-toned and fruit-driven.
Explore Similar Coffees
Click here for more reviews from Roadmap CoffeeWorks
Click here for more information about coffees from Costa Rica"
933,"|Roaster Location:
|Madison, Wisconsin
|Coffee Origin:
|Nyeri County, Kenya
|Roast Level:
|Medium-Light
|Agtron:
|58/76
|Est. Price:
|$23.00/12 ounces
|Review Date:
|June 2022
|Aroma:
|9
|Acidity/Structure:
|9
|Body:
|9
|Flavor:
|9
|Aftertaste:
|9
Blind Assessment
Berry-driven, complexly sweet-savory. Mulberry, praline, cocoa nib, lilac, tangerine zest in aroma and cup. Brightly sweet-savory structure with juicy, vibrant acidity; full, syrupy-smooth mouthfeel. Resonant, lingering, berry-toned finish, chocolaty and floral.
Notes
Produced by smallholding farmers, from trees of the SL28, SL34, Batian and Ruiru varieties of Arabica, and processed by the washed method (fruit skin and flesh are removed from the beans before they are dried). JBC Coffee Roasters’ vision is simple: “let the coffee lead the way” through sourcing and roasting the best and most unique coffees available and rewarding the farmers who grow those coffees with substantial premiums. Visit www.jbccoffeeroasters.com or call 608-256-5282 for more information.
Bottom Line
An elegantly powerful, classically composed Kenya cup with rich aromatics and a range of lively fruit, flowers and chocolate on the palate.
Explore Similar Coffees
Click here for more reviews from JBC Coffee Roasters
Click here for more information about coffees from Kenya"
